SchoolID,TeacherID,StudentID,Subject,ClassGroup,ClassN,ClassSection,AcademicYear,Semester,Date,Passed,Grade,Total_Semesters,Semester_Num,Absence,Not_Passed
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-09-10,0.0,2.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-09-14,0.0,4.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-09-17,0.0,5.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-09-28,0.0,8.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-10-10,0.0,2.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-10-15,0.0,2.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-10-19,0.0,5.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-10-24,0.0,10.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-11-07,0.0,4.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-11-12,0.0,4.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-11-16,0.0,4.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-12-07,0.0,4.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-12-12,0.0,5.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2019-12-19,0.0,4.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2020-01-16,0.0,4.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2020-01-21,0.0,2.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,1/2,2020-01-30,0.0,2.0,2,1,0,0
2,117,1836,Mathematics,4446,6,a,2019,2/2,2020-02-04,0.0,5.0,2,2,0,0
2,117,1836,Mathematics,4446,6,a,2019,2/2,2020-02-13,0.0,2.0,2,2,0,0
2,117,1836,Mathematics,4446,6,a,2019,2/2,2020-02-15,0.0,5.0,2,2,0,0
2,117,1836,Mathematics,4446,6,a,2019,2/2,2020-02-27,0.0,2.0,2,2,0,0
2,117,1836,Mathematics,4446,6,a,2019,2/2,2020-03-20,0.0,8.0,2,2,0,0
2,117,1836,Mathematics,4446,6,a,2019,2/2,2020-03-29,0.0,7.0,2,2,0,0
2,117,1836,Mathematics,4446,6,a,2019,2/2,2020-04-03,0.0,4.0,2,2,0,0
2,117,1836,Mathematics,4446,6,a,2019,2/2,2020-05-06,0.0,4.0,2,2,0,0
2,117,1836,Mathematics,4446,6,a,2019,2/2,2020-05-15,0.0,5.0,2,2,0,0
2,117,2162,Mathematics,4446,6,a,2019,1/2,2019-09-14,0.0,2.0,2,1,0,0
2,117,2162,Mathematics,4446,6,a,2019,1/2,2019-09-17,0.0,4.0,2,1,0,0
2,117,2162,Mathematics,4446,6,a,2019,1/2,2019-09-28,0.0,1.0,2,1,0,0
2,117,2162,Mathematics,4446,6,a,2019,1/2,2019-10-03,0.0,2.0,2,1,0,0
2,117,2162,Mathematics,4446,6,a,2019,1/2,2019-10-19,0.0,2.0,2,1,0,0
2,117,2162,Mathematics,4446,6,a,2019,1/2,2019-12-12,0.0,4.0,2,1,0,0
2,117,2162,Mathematics,4446,6,a,2019,1/2,2020-01-16,0.0,4.0,2,1,0,0
2,117,2162,Mathematics,4446,6,a,2019,1/2,2020-01-21,0.0,4.0,2,1,0,0
2,117,2162,Mathematics,4446,6,a,2019,1/2,2020-01-30,0.0,4.0,2,1,0,0
2,117,2162,Mathematics,4446,6,a,2019,2/2,2020-02-27,0.0,2.0,2,2,0,0
2,117,2162,Mathematics,4446,6,a,2019,2/2,2020-03-01,0.0,2.0,2,2,0,0
2,117,2162,Mathematics,4446,6,a,2019,2/2,2020-03-22,0.0,4.0,2,2,0,0
2,117,2162,Mathematics,4446,6,a,2019,2/2,2020-03-29,0.0,7.0,2,2,0,0
2,117,2162,Mathematics,4446,6,a,2019,2/2,2020-04-03,0.0,2.0,2,2,0,0
2,117,2162,Mathematics,4446,6,a,2019,2/2,2020-04-05,0.0,2.0,2,2,0,0
2,117,2162,Mathematics,4446,6,a,2019,2/2,2020-05-06,0.0,4.0,2,2,0,0
2,117,2162,Mathematics,4446,6,a,2019,2/2,2020-05-15,0.0,4.0,2,2,0,0
2,117,2162,Mathematics,4446,6,a,2019,2/2,2020-05-20,0.0,4.0,2,2,0,0
2,117,2162,Mathematics,4446,6,a,2019,2/2,2020-05-29,0.0,4.0,2,2,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2019-09-28,0.0,4.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2019-10-03,0.0,4.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2019-10-10,0.0,4.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2019-10-15,0.0,6.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2019-10-19,0.0,4.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2019-11-07,0.0,2.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2019-11-12,0.0,4.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2019-11-16,0.0,5.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2019-11-19,0.0,3.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2019-12-12,0.0,4.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2020-01-16,0.0,4.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2020-01-21,0.0,2.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,1/2,2020-01-30,0.0,2.0,2,1,0,0
2,117,1837,Mathematics,4446,6,a,2019,2/2,2020-02-27,0.0,2.0,2,2,0,0
